complaint_text,complaint_type,language,anger_score,days_pending,repeat_count,escalation_label,x,y,DBSCAN_Cluster,KMeans_Cluster,Risk Score,Risk Level,Root Cause
"saree color was red online but received pink, cheating",color_mismatch,english,0.57,9,4,1,0.239000907501274,0.752741788299874,0,4,66,High,Seller product listing fraud suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.58,1,1,0,3.4291791908430818,0.2884144875879914,1,3,36,Medium,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.54,7,1,0,-0.391120366337792,-0.9356414998417956,0,0,46,Medium,Warehouse packing error suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.68,4,3,1,-0.3911203663377927,-0.9356414998417976,0,0,57,High,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.79,9,3,1,0.2390009075012779,0.7527417882998685,0,4,72,High,Seller product listing fraud suspected
"return request ignored completely, no one responding",return_not_picked,english,0.7,1,1,0,-1.5922467547828327,-2.1694281828813136,2,2,42,Medium,Isolated complaint - no systemic cause
"color mismatch in my order, very upset",color_mismatch,english,0.71,5,1,0,0.3937367188796189,-0.6687577691426547,0,0,50,High,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.89,20,3,1,-1.7113717658627356,-3.4244081241908466,2,2,99,Critical,Courier partner failure suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.77,4,4,1,-1.1929884771589887,1.3139764086581622,3,1,66,High,Isolated complaint - no systemic cause
"color mismatch in my order, very upset",color_mismatch,english,0.55,9,2,0,0.3937367188796189,-0.6687577691426547,0,0,55,High,Seller product listing fraud suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.7,6,1,0,0.2390009075012779,0.7527417882998685,0,4,52,High,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.56,7,2,0,0.3937367188796189,-0.6687577691426547,0,0,52,High,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.61,2,2,0,0.3937367188796189,-0.6687577691426547,0,0,44,Medium,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,7,3,1,-1.7113717658627356,-3.4244081241908466,2,2,73,High,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.76,15,3,1,-1.5922467547828327,-2.1694281828813136,2,2,83,Critical,Courier partner failure suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.77,3,2,0,-1.1929884771589887,1.3139764086581622,3,1,54,High,Isolated complaint - no systemic cause
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.47,3,3,1,-0.3911203663377927,-0.935641499841797,0,0,44,Medium,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.72,13,4,1,-1.7113717658627356,-3.4244081241908466,2,2,82,Critical,Courier partner failure suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.74,1,2,0,0.2390009075012779,0.7527417882998685,0,4,49,Medium,Seller product listing fraud suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.95,1,3,1,-1.1929884771589887,1.3139764086581622,3,1,64,High,Isolated complaint - no systemic cause
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.92,23,4,1,-1.1929884771589887,1.3139764086581622,3,1,112,Critical,Payment gateway or bank processing delay
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.82,6,4,1,-1.7836398170721757,2.381926407704887,3,1,73,High,Isolated complaint - no systemic cause
"saree color was red online but received pink, cheating",color_mismatch,english,0.44,10,3,1,0.2390009075012779,0.7527417882998685,0,4,57,High,Seller product listing fraud suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.71,5,1,0,3.4291791620191963,0.2884144815009377,1,3,50,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.55,8,4,1,-0.3911203663377927,-0.935641499841797,0,0,63,High,Warehouse packing error suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.39,2,3,1,-1.357461773663346,2.7296125988696343,3,1,38,Medium,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.67,8,3,1,0.2390009075012779,0.7527417882998685,0,4,64,High,Seller product listing fraud suspected
