complaint_text,complaint_type,language,anger_score,days_pending,repeat_count,escalation_label
"Saree color was red online but received pink, cheating",color_mismatch,english,0.57,9,4,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.58,1,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.54,7,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.68,4,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.79,9,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.7,1,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.71,5,1,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.89,20,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.77,4,4,1
"Color mismatch in my order, very upset",color_mismatch,english,0.55,9,2,0
"Saree color was red online but received pink, cheating",color_mismatch,english,0.7,6,1,0
"Color mismatch in my order, very upset",color_mismatch,english,0.56,7,2,0
"Color mismatch in my order, very upset",color_mismatch,english,0.61,2,2,0
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,7,3,1
"Return request ignored completely, no one responding",return_not_picked,english,0.76,15,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.77,3,2,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.47,3,3,1
Courier not coming for pickup despite multiple complaints,return_not_picked,english,0.72,13,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.74,1,2,0
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.95,1,3,1
"Paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.92,23,4,1
"Refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.82,6,4,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.44,10,3,1
"Fabric is rough and fake, returning immediately",fake_fabric,english,0.71,5,1,0
"Ordered XL kurta but received M size, totally wrong",wrong_size,english,0.55,8,4,1
"Mujhe galat size mila hai, XL manga tha S aaya",wrong_size,hinglish,0.39,2,3,1
"Saree color was red online but received pink, cheating",color_mismatch,english,0.67,8,3,1
